GHG ID No. / No d'identification de GES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,Reporting Company Business Number / Numéro d'entreprise de la société déclarante,DUNS Number / Numéro DUNS,Public Contact Name / Nom du responsable des renseignements au public,Public Contact Position / Poste ou Titre du responsable des renseignements au public,Public Contact Telephone / Numéro de téléphone du responsable des renseignements au public,Public Contact Extension / Poste téléphonique du responsable des renseignements au public,Public Contact Email / Adresse électronique du responsable des renseignements au public,Public Contact Mailing Address / Adresse postale du responsable des renseignements au public,Public Contact City or District or Municipality / Ville ou District ou Municipalité du responsable des renseignements au public,Public Contact Province or Territory / Province ou Territoire du responsable des renseignements au public,Public Contact Postal Code / Code postal du responsable des renseignement au public,CO2 (tonnes),CO2 (tonnes CO2e / tonnes éq. CO2),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes), HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2),Monitoring or Direct Measurement / Surveillance ou mesure directe,Mass Balance / Bilan massique,Emission Factors / Facteurs d'émission,Engineering Estimates / Calculs techniques
G10001,2017,Division Alma, 1100 Melanion Street ,Alma,Quebec,G8B5W2,48.56500,-71.65556,983,322111,Mechanical Pulp Mills,Usines de pâte mécanique,Produits forestiers Résolu,Resolute FP Canada Inc.,144272010,249888900,Jean Gaudreault,Coordonnateur en environnement,4186689400,9461,Jean.Gaudreault@abitibibowater.com, 1100 Melançon  ,Alma,Quebec,G8B5W2,67797,67797,652.36,16309,1.23,366.54,,0,,0,0.94,3290,0.81,1158.3,1.06,4738.2,,0,,0,,0,,0,,0,,0,,0,,0,9186.5,,0,,0,,0,,0,,0,,0,,0,0,,0,93659.04,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10002,2017,Aciérie - ArcelorMittal Contrecoeur,0 3900 Route des Aciéries  ,Contrecoeur,Quebec,J0L1C0,45.82055,-73.26362,3649,331110,Iron & Steel Mills & Ferro-Alloy Mfg.,Sidérurgie,ArcelorMittal Produits Longs Canada s.e.n.c,ArcelorMittal Long Products Canada s.e.n.c,792442725,205406101,Louis-Philippe Péloquin,Directeur des communications,4505878727,,louis-philippe.peloquin@arcelormittal.com, 4000 Route des Aciéries  ,Contrecoeur,Quebec,J0L 1C0,184963.52,184963.52,1.08,27,1.87,557.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,185547.78,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G10003,2017,"Foothills Pipeline, Alberta",    ,Airdrie,Alberta,T4A2G7,,,,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,101840080,,,,,,,    ,,,,254586.2111,254586.2111,1297.829,32445.725,6.4452,1920.6696,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,288952.6057,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10004,2017,Kingston CoGen, 5146 Taylor-Kidd Boulevard ,Bath,Ontario,K0H1G0,44.20950,-76.72460,5765,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,Kingston CoGen Limited Partnership,Kingston CoGen,140263690,206964806,Steve Collings,Plant Manager,6133844388,214,steve.collings@kingstoncogen.ca, 5146 Taylor-Kidd Boulevard ,Bath,Ontario,K0H1G0,21698.6,21698.6,5.6603,141.5075,0.56603,168.67694,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,22008.78444,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet,Not Applicable / Sans objet
G10006,2017,Redwater Fertilizer Operations, 56225 SH643  ,Sturgeon County,Alberta,T0A2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Mfg.,Fabrication d'engrais chimiques (sauf potasse),Agrium Inc.,Agrium,134436260,,,,,,,    ,,,,1255095.003,1255095.003,1703.5737,42589.3425,18.3762,5476.1076,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,1303160.453,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G10007,2017,Alberta Envirofuels, 9511 17th Street ,Edmonton,Alberta,T6P1Y3,53.53199,-113.36492,3974,325190,Other Basic Organic Chemical Mfg.,Fab. d'autres produits chim. organiques de base,Keyera Corp,Keyera Corp,878885227,,Niall Gleeson,"Manager, Regulatory",4032058445,,niall_gleeson@keyera.com,200 144 4th Avenue Southwest,Calgary,Alberta,T2P3N4,308354.7234,308354.7234,24.8468,621.17,1.8641,555.5018,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,309531.3952,Applicable,Applicable,Applicable,Applicable
G10008,2017,Alliance Pipeline Ltd. - AB Pipeline System,800 605 5th Avenue Southwest,Calgary,Alberta,T2P3H5,,,,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Alliance Pipeline Ltd.,Alliance Pipeline Ltd.,897951380,253846620,,,,,,    ,,,,537940.81,537940.81,843.6,21090,15,4470,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,563500.81,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G10009,2017,Alberta-Pacific Forest Industries Inc.,    ,County of Athabasca,Alberta,T0A0M0,54.92312,-112.86186,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,871079992,,Burck Hantel,Energy Specialist,7805258345,,burck.hantel@alpac.ca,    ,Boyle,Alberta,T0A 0M0,96407.1789,96407.1789,167.1056,4177.64,62.624,18661.952,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,119246.7709,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10010,2017,Rio Tinto Alcan Inc., 1 Smeltersite Road ,Kitimat,British Columbia,V8C 2H2,54.00286,-128.69531,2788,331313,Primary Production of Alumina & Aluminum,Production primaire d'alumine & d'aluminium,Rio Tinto Alcan Inc,Rio Tinto ,100119213,202097614,Meagen Grossmann,Environmental Advisor,2506398401,,meagen.grossmann@riotinto.com, 1 Smeltersite Road Road ,Kitimat,British Columbia,V8C2H2,798208.935,798208.935,1.74317,43.57925,1.76178,525.01044,,0,0.0113,7.6275,0.0113,39.55,0.0816,116.688,,0,,0,,0,,0,,0,,0,,0,,0,,0,163.8655,7.987,59023.93,0.36,4392,,0,,0,,0,,0,,0,63415.93,,0,862357.3202,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10011,2017,Essar Steel Algoma Inc, 105 West Street North,Sault Ste. Marie,Ontario,P6A7B4,46.52170,-84.36370,1070,331110,Iron & Steel Mills & Ferro-Alloy Mfg.,Sidérurgie,Essar Steel Algoma Inc.,Essar Steel Algoma Inc.,173873100,,Fred Post,"Manager, Environment Control Services",7059454568,,Fred.Post@essar.com, 105 West Street North,Sault Ste. Marie,Ontario,P6A 7B4,2530388.36,2530388.36,811.5,20287.5,29.18,8695.64,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,2559371.5,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10012,2017,Aluminerie Alouette inc., 400 Chemin de de la Pointe-Noire  ,Sept-Îles,Quebec,G4R5M9,50.1583,-66.4416,4778,331313,Primary Production of Alumina & Aluminum,Production primaire d'alumine & d'aluminium,Aluminerie Alouette inc.,Aluminerie Alouette inc.,121899850,248143331,Marie-Claude Guimond,Directeur des communications,4189647335,,mcguimond@alouette.qc.ca, 400 Chemin de la Pointe-Noire  ,Sept-Îles,Quebec,G4R5M9,1023643.747,1023643.747,2.6648,66.62,2.5716,766.3368,,0,,0,,0,0.0925,132.275,,0,,0,,0,,0,,0,,0,,0,,0,,0,132.275,16.15848,119411.1672,0.98567,12025.174,,0,,0,,0,,0,,0,131436.3412,0.00451,102.828,1156148.148,Applicable,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10013,2017,Aluminerie de Baie-Comeau,0 100 Maritime Route ,Baie-Comeau,Quebec,G4Z2L6,49.2583,-68.1461,2038,331313,Primary Production of Alumina & Aluminum,Production primaire d'alumine & d'aluminium,Alcoa Canada Co.,Alcoa Canada Co.,138117494,,Dominic Martin,Chef des Communications,4182967271,,dominic.martin@alcoa.com, 100 Maritime Route ,Baie-Comeau,Quebec,G4Z2L6,495086.53,495086.53,0.6678,16.695,7.26913,2166.20074,,0,0.005,3.375,0.005,17.5,0.054,77.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,98.095,1.9563,14457.057,0.3306,4033.32,,0,,0,,0,,0,,0,18490.377,0.0013,29.64,515887.5377,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G10014,2017,Aluminerie de Bécancour inc., 5555 Pierre Thibault  ,Bécancour,Quebec,G9H2T7,46.38290,-72.38740,1071,331313,Primary Production of Alumina & Aluminum,Production primaire d'alumine & d'aluminium,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,100174531,,Catherine Daoust,Spécialiste Régionale Environnement,8192946101,2147,catherine.daoust@alcoa.com, 5555 Pierre Thibault  ,Ville De Bécancour,Quebec,G9H2T7,772743.6469,772743.6469,1.3784,34.46,1.9927,593.8246,,0,0.00535,3.61125,0.00535,18.725,0.01431,20.4633,,0,,0,,0,,0,,0,,0,,0,,0,,0,42.79955,5.943,43918.77,0.3586,4374.92,,0,,0,,0,,0,,0,48293.69,0,0,821708.4211,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G10015,2017,ATCO Pipelines - Transmission System, 7210 42 Street Northwest,Edmonton,Alberta,T6B3H1,,,,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,ATCO Gas and Pipelines Ltd.,ATCO Gas and Pipelines,119325652,,Curtis Clark,"Manager, Environment",7802212027,,curtis.clark@atco.com,  Stn Main  ,Edmonton,Alberta,T5J2V6,83224.0775,83224.0775,4325.2299,108130.7475,13.2578,3950.8244,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,195305.6494,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
