Entity,Code,Year,SF₆ gases (tonnes),PFC gases (tonnes),HFC gases (tonnes),Nitrous oxide (N₂O) (tonnes),Methane (CH₄) (tonnes),Carbon Dioxide (CO₂) (tonnes)
Afghanistan,AFG,1960,,,,,,414371
Afghanistan,AFG,1961,,,,,,491378
Afghanistan,AFG,1962,,,,,,689396
Afghanistan,AFG,1963,,,,,,707731
Afghanistan,AFG,1964,,,,,,839743
Afghanistan,AFG,1965,,,,,,1008425
Afghanistan,AFG,1966,,,,,,1092766
Afghanistan,AFG,1967,,,,,,1283450
Afghanistan,AFG,1968,,,,,,1224778
Afghanistan,AFG,1969,,,,,,942419
Afghanistan,AFG,1970,,,,3042256.3,10202000,1672152
Afghanistan,AFG,1971,,,,3006138.1999999997,10201500,1895839
Afghanistan,AFG,1972,,,,2530158,9170590,1532806
Afghanistan,AFG,1973,,,,2674404.1,9403540,1639149
Afghanistan,AFG,1974,,,,2937318.2,9987930,1917841
Afghanistan,AFG,1975,,,,3153723,10476600,2126860
Afghanistan,AFG,1976,,,,3265633,10535600,1987514
Afghanistan,AFG,1977,,,,3268981,10455900,2390884
Afghanistan,AFG,1978,,,,3272918,10380100,2159863
Afghanistan,AFG,1979,,,,3214545,10176200,2240537
Afghanistan,AFG,1980,,,,3275026,10376600,1760160
Afghanistan,AFG,1981,,,,3256705,10304800,1983847
Afghanistan,AFG,1982,,,,3327323,10259800,2101191
Afghanistan,AFG,1983,,,,3188660,9858040,2522896
Afghanistan,AFG,1984,,,,3062152.0999999996,9054650,2830924
Afghanistan,AFG,1985,,,,2862536.9,8308709.999999999,3509319
Afghanistan,AFG,1986,,,,2516902.4,7415090,3142619
Afghanistan,AFG,1987,,,,2677107.3000000003,7485190,3124284
Afghanistan,AFG,1988,,,,2772044.8000000003,7920270,2867594
Afghanistan,AFG,1989,,,,2771307,7465040,2775919
Afghanistan,AFG,1990,,,,2748196.5,7627580,2614571
Afghanistan,AFG,1991,,,,2755893.8,7702080,2438555
Afghanistan,AFG,1992,,,,2719013.1,7385530,1393460
Afghanistan,AFG,1993,,,,2766650.8,7474890,1345789
Afghanistan,AFG,1994,,,,2594427.2,7666930,1294451
Afghanistan,AFG,1995,,,,2735142.4000000004,7885840,1243113
Afghanistan,AFG,1996,,,,2948806.8,8611680,1177107
Afghanistan,AFG,1997,,,,3177996,9213600,1096433
Afghanistan,AFG,1998,,,,3332996,9700170,1041428.0000000001
Afghanistan,AFG,1999,,,,3600557,10305900,821408
Afghanistan,AFG,2000,,,,3316566,9384180,773737
Afghanistan,AFG,2001,,,,3058894,8666500,817741
Afghanistan,AFG,2002,,,,3374660,9929430,1070764
Afghanistan,AFG,2003,,,,3337088,10350600,1195442
Afghanistan,AFG,2004,,,,3352371,10521400,949753
Afghanistan,AFG,2005,,,,3411736,10698700,1327454
Afghanistan,AFG,2006,,,,3426120,10869900,1650150
Afghanistan,AFG,2007,,,,3470357,11049700,2273540
Afghanistan,AFG,2008,,,,3497234,11224400,4206049
Afghanistan,AFG,2009,,,,3341149,11497300,6769282
Afghanistan,AFG,2010,,,,3356556,13493300,8463436
Afghanistan,AFG,2011,,,,3390121.56,13628233,12240446
Afghanistan,AFG,2012,,,,3423687.12,13763166,10755311
Afghanistan,AFG,2013,,,,,,10014577
Afghanistan,AFG,2014,,,,,,9809225
Albania,ALB,1960,,,,,,2024184
Albania,ALB,1961,,,,,,2280874
Albania,ALB,1962,,,,,,2464224
Albania,ALB,1963,,,,,,2082856.0000000002
Albania,ALB,1964,,,,,,2016850
Albania,ALB,1965,,,,,,2174531
Albania,ALB,1966,,,,,,2552232
Albania,ALB,1967,,,,,,2680577
Albania,ALB,1968,,,,,,3072946
Albania,ALB,1969,,,,,,3245295
Albania,ALB,1970,,,,741898.2,1763640,3744007
Albania,ALB,1971,,,,756031.1000000001,1717470,4352729
Albania,ALB,1972,,,,756806.1,1737080,5643513
Albania,ALB,1973,,,,803647.1,1794070,5291481
Albania,ALB,1974,,,,819494.2999999999,1815360,4345395
Albania,ALB,1975,,,,818462,1864830,4594751
Albania,ALB,1976,,,,925238.3999999999,1943170,4950450
Albania,ALB,1977,,,,1007155.9,2002100,5720520
Albania,ALB,1978,,,,1207766.2,2113280,6494257
Albania,ALB,1979,,,,1229903.3,2182000,7587023
Albania,ALB,1980,,,,1239944.2,2228410,5170470
Albania,ALB,1981,,,,1287817.5,2235500,7341334
Albania,ALB,1982,,,,1254666.0999999999,2245350,7308331
Albania,ALB,1983,,,,1481108.7,2306810,7631027
Albania,ALB,1984,,,,1463587.5,2327290,7825378
Albania,ALB,1985,,,,1467698.1,2288990,7880383
Albania,ALB,1986,,,,1542715,2368580,8056399
Albania,ALB,1987,,,,1487758.2,2496970,7444010
Albania,ALB,1988,,,,1544596.7,2606350,7326666
Albania,ALB,1989,,,,1694611.9000000001,2648330,8984150
Albania,ALB,1990,0,0,0,1560115.3,2546960,5515168
Albania,ALB,1991,,,,1006294.1,2397490,4286723
Albania,ALB,1992,,,,1012363.8999999999,2268970,2515562
Albania,ALB,1993,,,,933592.9,2344400,2335879
Albania,ALB,1994,,,,1069571.3,2783960,1925175
Albania,ALB,1995,,,,982306.2999999999,2768730,2086523.0000000002
Albania,ALB,1996,,,,900894.1,2618410,2016850
Albania,ALB,1997,,,,848842,2458460,1543807
Albania,ALB,1998,,,,930325.5,2371490,1752826
Albania,ALB,1999,,,,925842.9,2356870,2984938
