Postcode,Borough,Neighborhood,Latitude,Longitude,Cluster,1st_Most_Common_Venue,2nd_Most_Common_Venue,3rd_Most_Common_Venue,4th_Most_Common_Venue,5th_Most_Common_Venue,6th_Most_Common_Venue,7th_Most_Common_Venue,8th_Most_Common_Venue,9th_Most_Common_Venue,10th_Most_Common_Venue
M4E,East Toronto,The Beaches,43.6763574,-79.2930312,0,Health Food Store,Pub,Trail,Noodle House,Mediterranean Restaurant,Men's Store,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Modern European Restaurant
M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,0,Greek Restaurant,Coffee Shop,Italian Restaurant,Ice Cream Shop,Bookstore,Furniture / Home Store,Yoga Studio,Cosmetics Shop,Brewery,Bubble Tea Shop
M4L,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.3155716,0,Pizza Place,Italian Restaurant,Fish & Chips Shop,Fast Food Restaurant,Burger Joint,Burrito Place,Liquor Store,Movie Theater,Steakhouse,Sandwich Place
M4M,East Toronto,Studio District,43.6595255,-79.340923,0,Café,Coffee Shop,Bakery,Italian Restaurant,American Restaurant,Yoga Studio,Seafood Restaurant,Stationery Store,Bookstore,Middle Eastern Restaurant
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,4,Photography Studio,Park,Swim School,Bus Line,New American Restaurant,Nightclub,Men's Store,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,0,Hotel,Food & Drink Shop,Park,Breakfast Spot,Gym / Fitness Center,Gym,Sandwich Place,Dance Studio,Clothing Store,Music Venue
M4R,Central Toronto,North Toronto West,43.7153834,-79.4056784,0,Coffee Shop,Sporting Goods Shop,Clothing Store,Yoga Studio,Mexican Restaurant,Burger Joint,Spa,Café,Salon / Barbershop,Furniture / Home Store
M4S,Central Toronto,Davisville,43.7043244,-79.3887901,0,Dessert Shop,Sandwich Place,Pizza Place,Café,Italian Restaurant,Gym,Coffee Shop,Sushi Restaurant,Gourmet Shop,Brewery
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,1,Playground,Noodle House,Mediterranean Restaurant,Men's Store,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Modern European Restaurant,Molecular Gastronomy Restaurant,Monument / Landmark
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.6864123,-79.4000493,0,Pub,Coffee Shop,Restaurant,Bagel Shop,Supermarket,Vietnamese Restaurant,Pizza Place,Liquor Store,American Restaurant,Sushi Restaurant
M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294,3,Park,Playground,Trail,Building,Noodle House,Men's Store,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Modern European Restaurant
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753,0,Coffee Shop,Convenience Store,Pizza Place,Pub,Italian Restaurant,Bakery,Park,Restaurant,Chinese Restaurant,Flower Shop
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,0,Coffee Shop,Japanese Restaurant,Gay Bar,Sushi Restaurant,Restaurant,Burger Joint,Mediterranean Restaurant,Pub,Café,Fast Food Restaurant
M5A,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,0,Coffee Shop,Park,Café,Bakery,Pub,Gym / Fitness Center,Mexican Restaurant,Breakfast Spot,Restaurant,Theater
M5B,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.3789371,0,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Cosmetics Shop,Café,Restaurant,Bakery,Fast Food Restaurant,Pizza Place,Plaza
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,0,Coffee Shop,Café,Restaurant,Hotel,Italian Restaurant,Bakery,Gastropub,Breakfast Spot,Cosmetics Shop,Beer Bar
M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,0,Coffee Shop,Cocktail Bar,Bakery,Seafood Restaurant,Cheese Shop,Café,Steakhouse,Beer Bar,Italian Restaurant,Farmers Market
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,0,Coffee Shop,Italian Restaurant,Café,Burger Joint,Ice Cream Shop,Sandwich Place,Middle Eastern Restaurant,Spa,Chinese Restaurant,Salad Place
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.6505712,-79.3845675,0,Coffee Shop,Café,Bar,Steakhouse,Restaurant,Thai Restaurant,Hotel,American Restaurant,Cosmetics Shop,Burger Joint
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.3817523,0,Coffee Shop,Hotel,Aquarium,Café,Brewery,Scenic Lookout,Fried Chicken Joint,Italian Restaurant,Park,Sporting Goods Shop
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.3815764,0,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Bar,Deli / Bodega,Bakery,Italian Restaurant,Gastropub
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169,0,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Italian Restaurant,Seafood Restaurant,Deli / Bodega,Gym,Steakhouse
M5N,Central Toronto,Roselawn,43.7116948,-79.4169356,2,Garden,Market,Mediterranean Restaurant,Men's Store,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Modern European Restaurant,Molecular Gastronomy Restaurant,Monument / Landmark
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.4113072,3,Trail,Park,Sushi Restaurant,Jewelry Store,New American Restaurant,Music Venue,Mediterranean Restaurant,Men's Store,Mexican Restaurant,Middle Eastern Restaurant
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,0,Sandwich Place,Café,Coffee Shop,Pizza Place,Indian Restaurant,Liquor Store,Jewish Restaurant,BBQ Joint,Park,Burger Joint
M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493,0,Café,Bakery,Restaurant,Bookstore,Sandwich Place,Japanese Restaurant,Bar,Nightclub,French Restaurant,Noodle House
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493,0,Café,Vegetarian / Vegan Restaurant,Bar,Chinese Restaurant,Dumpling Restaurant,Bakery,Mexican Restaurant,Vietnamese Restaurant,Coffee Shop,Comfort Food Restaurant
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199,0,Airport Service,Airport Lounge,Airport Terminal,Coffee Shop,Plane,Sculpture Garden,Boat or Ferry,Harbor / Marina,Boutique,Airport Gate
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.374846,0,Coffee Shop,Restaurant,Café,Italian Restaurant,Cocktail Bar,Beer Bar,Seafood Restaurant,Hotel,Fast Food Restaurant,Gym
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,0,Coffee Shop,Café,Hotel,Steakhouse,Restaurant,Bar,Seafood Restaurant,Gym,Asian Restaurant,Burger Joint
M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Café,Grocery Store,Park,Restaurant,Convenience Store,Baby Store,Diner,Athletics & Sports,Coffee Shop,Nightclub
M6H,West Toronto,"Dovercourt Village, Dufferin",43.6690051,-79.4422593,0,Bakery,Pharmacy,Supermarket,Bank,Music Venue,Bar,Athletics & Sports,Café,Brazilian Restaurant,Smoke Shop
M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,0,Bar,Coffee Shop,Asian Restaurant,Cocktail Bar,Restaurant,Café,Men's Store,Pizza Place,French Restaurant,Boutique
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.4281914,0,Breakfast Spot,Coffee Shop,Café,Performing Arts Venue,Climbing Gym,Gym,Restaurant,Furniture / Home Store,Grocery Store,Italian Restaurant
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,0,Mexican Restaurant,Café,Grocery Store,Flea Market,Speakeasy,Fried Chicken Joint,Cajun / Creole Restaurant,Furniture / Home Store,Fast Food Restaurant,Gastropub
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,0,Breakfast Spot,Gift Shop,Bookstore,Coffee Shop,Eastern European Restaurant,Dog Run,Restaurant,Bank,Italian Restaurant,Movie Theater
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,0,Café,Coffee Shop,Sushi Restaurant,Pizza Place,Italian Restaurant,Bookstore,Bar,Gastropub,Falafel Restaurant,Restaurant
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,0,Light Rail Station,Yoga Studio,Spa,Gym / Fitness Center,Garden Center,Garden,Fast Food Restaurant,Farmers Market,Park,Pizza Place
