event_id,user_id,timestamp,event_name,event_value
E0000001,U00001,2026-01-06 00:00:00,signup,1.0
E0000002,U00001,2026-01-06 00:03:43,tutorial_start,1.0
E0000003,U00001,2026-01-06 00:05:43,tutorial_complete,1.0
E0000004,U00001,2026-01-07 03:36:28,level_complete,1.0
E0000005,U00001,2026-01-09 21:58:25,level_complete,2.0
E0000006,U00001,2026-01-09 05:22:19,level_complete,3.0
E0000007,U00001,2026-01-10 17:11:05,level_complete,4.0
E0000008,U00001,2026-01-06 03:35:59,level_complete,5.0
E0000009,U00001,2026-01-10 02:43:43,quest_complete,1.0
E0000010,U00001,2026-01-06 10:26:43,guild_join,1.0
E0000011,U00001,2026-01-06 04:55:00,wallet_connect,1.0
E0000012,U00002,2026-02-16 00:00:00,signup,1.0
E0000013,U00002,2026-02-16 00:03:07,tutorial_start,1.0
E0000014,U00002,2026-02-16 00:06:22,tutorial_complete,1.0
E0000015,U00002,2026-02-17 20:13:08,level_complete,1.0
E0000016,U00002,2026-02-19 08:52:14,level_complete,2.0
E0000017,U00002,2026-02-17 01:11:13,level_complete,3.0
E0000018,U00002,2026-02-19 13:34:03,quest_complete,1.0
E0000019,U00002,2026-02-17 03:36:07,guild_join,1.0
E0000020,U00002,2026-02-21 06:08:07,marketplace_visit,1.0
E0000021,U00002,2026-02-17 09:51:05,marketplace_visit,1.0
E0000022,U00002,2026-03-06 16:53:16,item_purchase,6.75
E0000023,U00003,2026-02-09 00:00:00,signup,1.0
E0000024,U00003,2026-02-09 00:08:44,tutorial_start,1.0
E0000025,U00003,2026-02-09 00:11:47,tutorial_complete,1.0
E0000026,U00003,2026-02-12 04:49:34,level_complete,1.0
E0000027,U00003,2026-02-11 18:04:18,level_complete,2.0
E0000028,U00003,2026-02-10 07:12:48,level_complete,3.0
E0000029,U00003,2026-02-09 04:16:27,quest_complete,1.0
E0000030,U00003,2026-02-11 01:03:45,guild_join,1.0
E0000031,U00003,2026-02-14 06:22:08,item_view,1.0
E0000032,U00003,2026-02-10 02:39:35,item_view,1.0
E0000033,U00003,2026-02-12 12:25:26,item_view,1.0
E0000034,U00003,2026-02-13 14:49:08,item_view,1.0
E0000035,U00003,2026-02-12 12:37:18,marketplace_visit,1.0
E0000036,U00003,2026-02-14 17:16:19,marketplace_visit,1.0
E0000037,U00003,2026-02-09 04:15:32,wallet_connect,1.0
E0000038,U00003,2026-03-02 16:46:33,item_purchase,27.86
E0000039,U00003,2026-02-12 18:37:11,item_purchase,3.67
E0000040,U00003,2026-02-25 17:26:31,item_purchase,16.13
E0000041,U00003,2026-02-22 10:13:52,item_purchase,20.75
E0000042,U00004,2026-01-27 00:00:00,signup,1.0
E0000043,U00004,2026-01-27 00:08:21,tutorial_start,1.0
E0000044,U00004,2026-01-27 00:16:17,tutorial_complete,1.0
E0000045,U00004,2026-01-27 18:54:34,level_complete,1.0
E0000046,U00004,2026-01-30 05:13:02,level_complete,2.0
E0000047,U00004,2026-01-31 18:07:01,level_complete,3.0
E0000048,U00004,2026-01-29 04:43:38,level_complete,4.0
E0000049,U00004,2026-02-01 05:05:31,share_invite,1.0
E0000050,U00004,2026-02-10 19:55:08,item_purchase,10.1
E0000051,U00005,2026-01-26 00:00:00,signup,1.0
E0000052,U00005,2026-01-26 00:04:01,tutorial_start,1.0
E0000053,U00005,2026-01-26 00:22:18,tutorial_complete,1.0
E0000054,U00005,2026-01-28 22:55:55,level_complete,1.0
E0000055,U00005,2026-01-29 05:03:05,level_complete,2.0
E0000056,U00005,2026-01-27 22:46:45,level_complete,3.0
E0000057,U00005,2026-01-27 15:38:13,level_complete,4.0
