user_id,retained_d7,retained_d30,total_revenue_30d,churn_risk
U00001,1,1,0.0,low
U00002,1,1,6.75,low
U00003,1,1,68.41,low
U00004,1,0,10.1,low
U00005,1,1,42.73,low
U00006,1,1,16.73,low
U00007,1,1,21.27,low
U00008,1,1,0.0,low
U00009,1,1,16.76,low
U00010,1,1,27.98,low
U00011,1,1,33.11,low
U00012,1,1,32.16,medium
U00013,1,1,66.91,low
U00014,1,1,0.0,low
U00015,0,0,45.11,medium
U00016,0,1,0.0,low
U00017,0,1,0.0,medium
U00018,1,0,0.0,low
U00019,1,0,0.0,low
U00020,0,0,0.0,medium
U00021,0,0,0.0,medium
U00022,0,0,0.0,high
U00023,0,1,65.0,low
U00024,1,0,0.0,low
U00025,1,0,0.0,low
U00026,0,0,6.35,medium
U00027,1,1,37.35,low
U00028,1,1,36.76,low
U00029,0,0,0.0,low
U00030,1,0,17.36,low
U00031,0,1,37.88,low
U00032,1,1,23.36,low
U00033,1,1,48.16,low
U00034,1,1,28.44,low
U00035,1,1,55.17,low
U00036,0,0,8.83,medium
U00037,1,1,36.78,low
U00038,0,0,0.0,medium
U00039,0,1,13.02,low
U00040,1,1,9.54,low
U00041,1,1,18.8,low
U00042,1,0,0.0,low
U00043,1,0,51.03,low
U00044,1,1,23.41,low
U00045,0,0,27.75,high
U00046,0,0,28.43,low
U00047,0,0,16.44,high
U00048,1,1,0.0,low
U00049,1,1,24.98,low
U00050,0,0,8.35,medium
U00051,1,1,0.0,low
U00052,1,0,0.0,low
U00053,1,1,0.0,medium
U00054,1,1,40.4,low
U00055,1,0,39.79,low
U00056,0,0,0.0,high
U00057,1,1,0.0,low
U00058,1,0,0.0,low
U00059,0,0,0.0,low
U00060,1,1,0.0,medium
U00061,1,1,37.39,low
U00062,1,1,0.0,low
U00063,1,1,0.0,low
U00064,1,0,0.0,medium
U00065,1,1,0.0,low
U00066,1,1,0.0,low
U00067,0,1,0.0,medium
U00068,1,0,0.0,medium
U00069,1,1,62.71,low
U00070,0,1,29.5,low
U00071,1,0,0.0,low
U00072,1,1,8.69,medium
U00073,1,1,0.0,low
U00074,1,0,0.0,low
U00075,1,1,0.0,medium
U00076,0,0,0.0,medium
U00077,0,0,0.0,high
U00078,0,0,0.0,medium
U00079,0,1,42.41,low
