transaction_id,user_id,timestamp,item_category,amount_usd,payment_type
T000001,U00002,2026-03-06 16:53:16,cosmetic,6.75,card
T000002,U00003,2026-03-02 16:46:33,expansion,27.86,wallet
T000003,U00003,2026-02-12 18:37:11,booster,3.67,card
T000004,U00003,2026-02-25 17:26:31,currency,16.13,card
T000005,U00003,2026-02-22 10:13:52,currency,20.75,wallet
T000006,U00004,2026-02-10 19:55:08,cosmetic,10.1,card
T000007,U00005,2026-02-19 19:22:01,cosmetic,10.87,wallet
T000008,U00005,2026-02-21 16:09:34,cosmetic,4.63,wallet
T000009,U00005,2026-01-29 08:37:38,cosmetic,8.44,card
T000010,U00005,2026-02-24 06:44:04,currency,18.79,card
T000011,U00006,2026-03-04 17:32:50,currency,11.22,card
T000012,U00006,2026-03-06 11:51:10,cosmetic,5.51,card
T000013,U00007,2026-01-07 01:24:37,battlepass,9.17,card
T000014,U00007,2026-01-09 09:20:17,booster,6.12,card
T000015,U00007,2026-01-11 06:31:43,cosmetic,5.98,card
T000016,U00009,2026-01-31 10:49:59,cosmetic,7.05,card
T000017,U00009,2026-02-11 14:52:14,booster,5.5,card
T000018,U00009,2026-01-16 19:18:03,booster,4.21,card
T000019,U00010,2026-02-02 23:38:14,expansion,24.02,wallet
T000020,U00010,2026-01-19 00:00:43,booster,3.96,wallet
T000021,U00011,2026-02-03 12:08:08,currency,19.05,card
T000022,U00011,2026-02-08 08:01:21,cosmetic,9.31,card
T000023,U00011,2026-02-24 18:36:12,booster,4.75,card
T000024,U00012,2026-03-01 09:05:20,booster,2.53,wallet
T000025,U00012,2026-03-03 17:24:04,cosmetic,7.49,wallet
T000026,U00012,2026-03-12 09:14:51,booster,5.34,wallet
T000027,U00012,2026-03-06 09:26:57,cosmetic,8.1,wallet
T000028,U00012,2026-03-02 15:05:09,currency,8.7,wallet
T000029,U00013,2026-03-09 15:17:38,expansion,26.21,card
T000030,U00013,2026-02-16 23:53:54,currency,10.68,card
T000031,U00013,2026-03-13 16:57:18,cosmetic,10.41,card
T000032,U00013,2026-02-27 08:24:45,currency,19.61,card
T000033,U00015,2026-03-13 20:12:50,booster,3.4,card
T000034,U00015,2026-03-01 05:25:23,expansion,18.66,card
T000035,U00015,2026-03-12 22:36:49,expansion,23.05,card
T000036,U00023,2026-01-21 09:54:19,cosmetic,9.24,card
T000037,U00023,2026-02-05 12:23:56,cosmetic,8.57,card
T000038,U00023,2026-01-30 11:07:42,expansion,30.49,card
T000039,U00023,2026-01-27 06:05:50,cosmetic,8.49,card
T000040,U00023,2026-01-16 01:18:14,cosmetic,8.21,card
T000041,U00026,2026-02-28 03:06:43,cosmetic,6.35,card
T000042,U00027,2026-02-09 02:56:05,cosmetic,8.36,card
T000043,U00027,2026-02-14 00:20:02,battlepass,20.47,card
T000044,U00027,2026-02-23 01:45:30,battlepass,8.52,card
