user_id,signup_date,country,device,acquisition_channel,age_band,player_type_seed
U00001,2026-01-06,United States,Android,referral,25-34,casual
U00002,2026-02-16,Brazil,Android,organic,55+,casual
U00003,2026-02-09,India,iOS,organic,18-24,casual
U00004,2026-01-27,Japan,Android,influencer,25-34,competitive
U00005,2026-01-26,United States,Android,paid_social,25-34,casual
U00006,2026-02-21,United States,Android,organic,35-44,competitive
U00007,2026-01-06,India,Web,referral,35-44,casual
U00008,2026-02-11,India,Android,paid_social,18-24,competitive
U00009,2026-01-13,United Kingdom,Android,store_feature,35-44,competitive
U00010,2026-01-06,Brazil,Android,referral,18-24,competitive
U00011,2026-02-01,United Kingdom,Android,organic,35-44,casual
U00012,2026-02-28,Canada,Android,organic,18-24,collector
U00013,2026-02-14,United States,iOS,organic,25-34,casual
U00014,2026-02-15,United States,Android,referral,25-34,competitive
U00015,2026-02-13,United States,Android,paid_social,35-44,casual
U00016,2026-02-17,Japan,Android,referral,25-34,casual
U00017,2026-01-31,United States,Web,paid_social,25-34,competitive
U00018,2026-01-08,United States,Android,organic,18-24,casual
U00019,2026-02-20,Germany,iOS,organic,25-34,casual
U00020,2026-01-28,United States,iOS,organic,45-54,casual
U00021,2026-01-31,United States,iOS,paid_social,25-34,casual
U00022,2026-01-23,Germany,iOS,paid_social,25-34,collector
U00023,2026-01-11,Canada,Android,influencer,35-44,competitive
U00024,2026-02-25,Germany,iOS,organic,25-34,casual
U00025,2026-02-16,India,iOS,referral,45-54,competitive
U00026,2026-02-08,United States,iOS,organic,25-34,competitive
U00027,2026-01-25,India,Android,referral,55+,competitive
U00028,2026-02-19,India,Android,organic,45-54,competitive
U00029,2026-02-02,Japan,iOS,referral,25-34,casual
U00030,2026-01-27,Germany,iOS,organic,25-34,casual
U00031,2026-01-28,Germany,iOS,organic,35-44,competitive
U00032,2026-01-14,Germany,iOS,paid_social,35-44,competitive
U00033,2026-01-06,Brazil,iOS,paid_social,18-24,competitive
U00034,2026-02-03,United States,iOS,paid_social,18-24,casual
U00035,2026-02-23,India,iOS,organic,18-24,competitive
U00036,2026-01-04,Germany,Web,influencer,35-44,casual
U00037,2026-02-21,Japan,Android,organic,35-44,competitive
U00038,2026-02-19,Canada,Android,paid_social,18-24,casual
U00039,2026-01-17,United States,iOS,store_feature,25-34,competitive
U00040,2026-02-07,United Kingdom,iOS,referral,35-44,collector
U00041,2026-01-10,United Kingdom,Web,organic,55+,casual
U00042,2026-02-15,United Kingdom,iOS,paid_social,18-24,competitive
U00043,2026-02-12,Canada,Android,organic,25-34,competitive
U00044,2026-01-22,United States,Web,paid_social,25-34,casual
U00045,2026-01-05,United Kingdom,Android,paid_social,35-44,casual
U00046,2026-02-28,Canada,iOS,referral,18-24,competitive
U00047,2026-01-27,India,Android,store_feature,18-24,casual
U00048,2026-02-23,United States,iOS,organic,35-44,casual
U00049,2026-02-10,Canada,iOS,organic,25-34,collector
U00050,2026-02-16,United States,iOS,paid_social,18-24,competitive
U00051,2026-02-15,Germany,Web,paid_social,25-34,competitive
U00052,2026-01-12,United Kingdom,Android,paid_social,18-24,competitive
U00053,2026-01-22,Brazil,iOS,referral,25-34,casual
U00054,2026-01-29,India,iOS,paid_social,25-34,competitive
U00055,2026-01-30,United States,Android,influencer,18-24,casual
U00056,2026-01-03,Brazil,Web,paid_social,18-24,casual
U00057,2026-02-02,United States,iOS,organic,45-54,competitive
U00058,2026-01-10,United States,iOS,organic,45-54,collector
U00059,2026-02-14,United Kingdom,Web,paid_social,18-24,casual
U00060,2026-02-10,United States,Web,organic,35-44,collector
U00061,2026-02-25,Germany,Web,organic,18-24,competitive
U00062,2026-02-14,Brazil,iOS,organic,35-44,casual
U00063,2026-01-22,Brazil,iOS,referral,45-54,casual
U00064,2026-02-28,United Kingdom,Android,influencer,35-44,casual
U00065,2026-01-25,Germany,iOS,paid_social,35-44,competitive
U00066,2026-01-20,Canada,Web,organic,25-34,casual
U00067,2026-02-24,United States,iOS,paid_social,18-24,casual
U00068,2026-01-23,United States,Android,paid_social,25-34,casual
U00069,2026-01-05,Brazil,Web,influencer,18-24,collector
U00070,2026-01-29,India,Web,paid_social,35-44,casual
U00071,2026-02-17,United States,Android,referral,25-34,casual
U00072,2026-01-12,Germany,Web,influencer,18-24,casual
U00073,2026-01-28,Brazil,iOS,referral,25-34,casual
U00074,2026-01-08,Japan,iOS,organic,35-44,casual
U00075,2026-02-11,Germany,iOS,paid_social,25-34,competitive
U00076,2026-01-29,Germany,Web,paid_social,25-34,competitive
U00077,2026-01-20,Brazil,Web,paid_social,45-54,casual
U00078,2026-01-14,Japan,iOS,influencer,18-24,competitive
